,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.0427,0.0589,1.0932,0.0879,0.2266
r_e,15.6767,17.6800,0.0000,13.1427,2.6029
n,1.7906,1.1091,3.9238,1.6588,0.4709
x_0,30.2026,40.5669,41.8710,58.6838,61.8571
